level,position,tech_stack,experience,gender,company,company_size,work_type,city,currency,salary,raise_period
0,22,1284,0,0,34,2,0,70,3,18,2
2,2,87,7,0,2,4,2,70,3,74,1
0,2,449,0,0,23,4,0,40,3,7,2
2,22,661,4,0,23,4,1,68,3,32,2
1,17,1088,1,0,41,4,2,0,0,84,1
2,2,449,7,0,23,4,0,70,3,43,2
0,40,1345,1,1,23,4,0,70,3,29,2
2,2,449,7,0,6,2,2,40,3,53,2
2,24,531,2,0,28,1,2,70,3,40,1
2,53,311,2,0,41,3,2,70,3,39,2
2,24,1268,3,0,28,2,0,40,3,67,2
2,2,3,6,0,4,6,2,71,1,22,1
1,34,1385,6,0,41,6,2,70,3,38,3
0,40,1234,1,0,23,4,2,70,3,25,3
1,22,87,1,1,23,4,0,70,3,29,4
2,53,943,7,0,34,3,0,70,3,72,2
2,22,3,7,0,2,4,0,70,3,75,1
1,22,1171,5,0,4,5,1,64,3,16,1
1,21,1119,1,0,27,5,4,70,3,34,2
2,15,1204,3,0,6,4,2,70,3,49,2
2,22,485,2,0,23,4,2,70,3,38,2
2,22,3,1,1,23,6,1,70,3,7,2
1,24,1403,1,0,28,1,1,70,3,28,1
1,22,1148,5,0,34,0,2,58,3,13,2
2,21,335,7,0,28,6,0,70,3,67,2
2,31,681,7,0,23,4,0,70,3,48,1
2,48,180,2,0,23,4,1,41,3,23,1
2,39,1371,4,0,23,4,0,71,3,30,1
1,14,1247,1,0,23,2,2,40,3,35,2
2,31,681,7,0,23,4,0,40,3,59,2
2,31,681,6,0,23,4,2,87,3,59,2
2,2,449,2,0,23,4,2,70,3,61,2
2,53,452,7,0,2,4,0,70,3,86,2
2,2,449,7,0,34,3,2,46,3,54,2
2,47,18,4,0,34,6,2,70,3,69,1
1,17,1240,5,0,6,4,0,70,3,37,2
1,12,1247,6,1,23,4,0,70,3,37,1
2,20,1400,7,0,23,2,0,70,3,36,1
1,2,113,1,0,6,5,2,71,3,7,2
1,21,896,5,0,23,4,4,70,3,31,1
1,34,1385,1,0,27,4,2,70,3,29,2
2,22,3,7,0,23,4,0,70,3,62,2
2,31,681,6,0,23,4,2,70,3,45,2
2,2,661,7,0,41,4,2,70,3,47,2
0,22,309,0,0,6,1,0,70,3,1,1
0,22,309,0,0,34,3,0,70,3,19,1
2,34,1385,5,0,6,4,2,70,3,40,2
2,21,1010,3,0,23,0,2,70,3,72,2
0,22,113,1,0,23,4,2,98,3,25,2
1,22,3,1,0,2,4,0,70,3,30,2
2,22,7,7,0,2,4,2,77,3,56,1
2,2,449,3,0,2,4,2,70,3,71,1
2,22,121,3,0,23,4,2,70,3,54,1
2,53,3,4,0,2,4,0,70,3,86,1
2,31,934,7,0,6,4,0,70,3,62,2
2,2,449,6,0,23,4,0,70,3,58,4
2,2,449,7,0,23,4,2,70,3,48,2
0,2,57,1,0,23,4,2,70,3,21,1
2,22,7,7,0,34,3,0,70,3,45,2
1,12,1247,5,0,23,4,2,40,3,31,1
2,22,1119,2,0,34,5,1,40,3,45,2
2,2,805,3,0,41,6,2,70,0,33,1
1,34,1385,1,0,27,6,2,94,3,29,1
1,21,1335,1,0,14,4,2,70,3,28,1
2,47,700,3,0,23,6,0,40,3,71,1
1,21,886,1,0,34,3,1,40,3,16,1
2,47,4,2,0,23,4,1,71,3,41,4
2,53,814,4,0,41,1,1,40,3,41,2
0,21,1007,0,0,23,4,2,41,3,23,2
1,2,449,5,0,23,2,2,70,3,39,1
2,2,409,7,1,27,4,2,70,1,0,1
1,31,934,5,0,14,4,2,77,3,34,2
0,31,934,1,0,34,5,2,65,3,18,1
0,21,1119,1,0,4,0,4,40,3,1,1
1,22,3,6,0,23,4,0,70,3,48,1
0,14,1323,1,0,6,4,4,71,3,1,2
2,53,1247,2,0,34,3,2,70,3,36,1
0,22,80,1,1,34,0,2,94,3,19,1
2,22,259,4,0,41,6,1,52,3,24,1
0,22,3,0,0,6,4,0,70,3,16,1
1,22,1219,6,0,23,3,1,40,3,1,1
1,2,349,5,0,23,4,0,70,3,31,2
2,2,3,6,0,23,4,2,70,3,52,1
2,19,372,2,0,23,4,0,70,3,52,1
1,22,523,5,0,23,6,0,40,3,16,2
1,22,60,5,0,27,2,1,40,3,30,2
2,53,1166,2,0,6,6,2,40,0,33,1
2,14,1383,2,0,41,2,2,70,3,41,2
2,47,423,6,0,23,4,0,71,3,47,2
1,22,3,5,0,23,4,2,70,3,30,2
2,2,700,6,0,23,4,2,70,3,40,2
0,19,372,1,0,23,4,1,40,3,39,2
0,2,238,1,0,41,1,3,70,3,13,2
1,21,1033,1,0,23,4,2,70,3,25,2
0,21,1342,0,0,23,2,2,70,3,27,1
2,48,1252,4,0,23,4,1,71,3,85,2
2,22,57,2,0,23,4,2,95,3,65,2
0,21,886,0,0,34,0,0,40,3,10,1
2,53,3,3,0,23,4,0,70,3,70,2
2,38,1204,4,0,27,6,2,3,0,33,1
2,19,381,6,0,23,4,1,70,3,36,1
2,53,250,4,0,27,3,0,71,3,37,2
2,14,1247,5,0,2,4,2,70,3,64,2
2,21,886,6,0,23,4,2,40,3,39,2
0,31,934,0,0,23,6,0,70,3,19,2
2,37,695,7,0,41,3,2,70,3,85,2
1,22,449,1,0,41,3,2,70,3,29,2
2,2,57,7,0,41,6,2,70,3,54,2
1,2,869,6,0,23,4,0,70,3,41,2
1,19,372,1,0,23,2,0,70,3,28,2
2,34,1385,6,0,23,6,1,70,3,85,4
2,47,1106,4,0,34,3,0,40,3,8,2
1,12,1033,1,0,34,3,0,70,3,29,1
1,19,372,1,0,14,4,0,70,3,39,1
2,2,980,4,0,23,4,4,70,3,59,2
2,22,21,4,0,41,0,1,71,3,18,1
0,21,886,1,0,6,4,0,70,3,19,2
2,17,409,7,0,34,6,2,70,0,66,1
0,21,896,1,0,34,1,0,70,3,19,2
1,2,3,5,0,23,3,2,71,3,21,4
0,19,372,1,0,23,4,1,70,3,23,2
2,53,1336,3,0,23,4,1,40,3,5,2
2,2,3,2,0,41,1,2,41,3,27,2
2,2,471,5,0,2,4,0,70,3,50,2
2,2,3,5,0,34,4,4,40,3,65,2
2,22,449,2,0,23,4,0,40,3,51,2
2,53,1261,7,0,23,4,1,64,3,38,1
1,22,714,6,0,23,4,0,70,3,45,2
2,19,1252,7,0,23,4,0,40,3,67,2
1,2,747,4,0,6,4,0,0,0,7,1
1,44,338,5,0,23,4,2,70,3,36,1
0,41,449,0,0,6,4,0,70,3,16,1
2,37,452,4,0,34,6,0,40,3,49,1
1,31,405,1,0,2,6,2,0,0,84,1
1,2,449,6,0,27,2,2,56,3,40,2
0,2,449,1,0,23,6,0,70,3,26,3
1,2,309,5,0,23,6,0,70,3,13,2
2,22,309,2,0,34,6,2,70,3,57,2
0,2,3,0,0,34,1,1,52,3,7,2
0,34,1392,0,1,27,2,2,70,3,21,2
2,22,309,3,0,23,6,2,40,0,33,1
2,47,449,3,1,23,4,1,40,3,70,2
1,37,1284,5,1,23,2,1,40,3,28,1
1,14,1320,5,0,23,4,2,40,3,21,1
2,2,1002,5,0,34,5,2,70,3,46,2
0,21,886,0,1,27,4,2,70,3,87,1
2,47,701,7,0,23,4,2,71,3,50,2
2,2,1108,2,0,23,2,2,70,3,38,1
1,2,1247,5,0,34,1,2,83,3,23,4
1,21,1002,1,0,23,4,0,70,3,37,2
2,21,891,4,0,2,4,0,70,3,45,1
2,22,627,1,0,23,4,0,70,3,13,2
1,2,3,6,0,41,1,0,71,3,34,2
0,21,449,0,1,23,4,2,70,3,18,3
2,2,3,7,1,23,4,0,70,3,41,1
1,21,896,1,0,34,4,2,40,3,58,2
2,48,624,3,0,23,4,2,70,3,81,1
0,21,1410,1,0,14,2,2,70,3,13,2
2,22,670,5,1,41,4,2,70,3,37,2
2,2,3,4,0,2,4,2,70,3,54,1
0,34,1385,1,1,6,4,4,70,3,28,3
2,2,1269,5,0,14,6,0,70,3,51,2
1,2,57,1,0,23,4,0,70,3,34,2
2,31,681,6,0,34,2,2,70,3,71,2
2,40,580,4,1,27,4,0,70,3,29,2
2,2,449,2,0,23,4,0,70,3,58,2
0,21,889,0,0,23,4,0,71,3,18,2
2,21,893,6,0,23,4,0,52,3,40,1
0,22,1219,1,0,23,3,1,40,3,25,1
1,19,372,1,0,23,2,1,40,3,21,2
2,22,299,3,0,23,4,2,40,3,59,1
1,2,987,5,0,41,3,2,77,3,28,1
2,48,60,2,0,41,3,0,70,3,67,2
2,47,872,4,0,2,4,0,70,3,88,2
